Name,Country,Role,Matches,Runs,Average,Strike Rate,Wickets,Bowling Average,Bowling Strike Rate,Economy
"Faf du Plessis      
   
	",South Africa,Opening batsman,219,5258,29.04,126.94,50,18.34,15.8,6.96
"Murali Vijay      
   
	",India,Opening batsman,166,4191,26.52,122.79,0,-,-,6.63
"Shane Watson      
   
	",Australia,Opening batsman,332,8522,29.28,138.99,216,27.02,20.5,7.9
"Suresh Raina      
   
	",India,Batsman,319,8392,32.65,138.02,53,34.6,28.6,7.23
"Ambati Rayudu      
   
	",India,Batsman,223,4758,26.14,122.62,-,-,-,-
"Kedar Jadhav      
   
	",India,Batsman,130,2048,23.27,130.11,4,22,15,8.8
"Ruturaj Gaikwad      
   
	",India,Batsman,28,843,33.72,135.31,-,-,-,-
"MS Dhoni(c)      
   
	",India,Wicketkeeper batsman,317,6621,39.88,135.62,0,-,-,12.5
"Narayan Jagadeesan      
   
	",India,Wicketkeeper batsman,22,305,23.46,111.72,-,-,-,-
"Sam Curran      
   
	",England,Allrounder,69,838,19.04,130.93,63,30.28,21,8.65
"Mitchell Santner      
   
	",New Zealand,All round spin bowler,96,1551,28.2,87.77,101,34.3,43.4,4.73
"Ravindra Jadeja      
   
	",India,All round spin bowler,237,2310,22.21,122.87,158,30.09,23.7,7.59
"Karn Sharma      
   
	",India,Spin bowler,132,1321,19.42,126.53,108,25.77,20.7,7.46
"Imran Tahir      
   
	",South Africa,Spin bowler,290,230,10.45,105.99,365,19.85,16.9,7
"Harbhajan Singh      
   
	",India,Spin bowler,265,1508,14.64,128.44,235,26.08,23.1,6.77
"Piyush Chawla      
   
	",India,Spin bowler,237,1361,14.79,125.43,251,24.36,19.6,7.44
"Ravisrinivasan Sai Kishore      
   
	",India,All round spin bowler,22,6,2,66.66,25,16.76,18.4,5.45
"Dwayne Bravo      
   
	",West Indies,Allrounder,455,6307,23.89,126.82,497,24.52,17.8,8.24
"Shardul Thakur      
   
	",India,Bowler,90,139,8.68,114.87,104,24.62,17.6,8.39
"Deepak Chahar      
   
	",India,Bowler,75,240,12,133.33,95,20.27,16.6,7.28
"Lungi Ngidi      
   
	",South Africa,Bowler,63,9,3,56.25,81,18.3,14.5,7.55
"KM Asif      
   
	",India,Bowler,10,1,-,33.33,11,20.81,16.3,7.63
"Monu Kumar      
   
	",India,Bowler,22,34,6.8,121.42,25,22,19.1,6.9
"Josh Hazlewood      
   
	",Australia,Bowler,35,23,11.5,88.46,42,24.11,19.1,7.56
