Name,Country,Role,Matches,Runs,Average,Strike Rate,Wickets,Bowling Average,Economy,Bowling Strike Rate
"Lalit Yadav      
   
	",India,All round spin bowler,30,408,29.14,136.91,20,30,6.92,26
"Shikhar Dhawan      
   
	",India,Opening batsman,259,7294,31.71,123.64,4,16.5,8.25,12
"Ajinkya Rahane      
   
	",India,Opening batsman,196,4988,29.69,119.7,1,5,5,6
"Jason Roy      
   
	",England,Opening batsman,210,5350,27.43,144.67,1,39,13,18
"Shimron Hetmyer      
   
	",West Indies,Batsman,55,1108,24.08,131.59,-,-,-,-
"Rishabh Pant      
   
	",India,Wicketkeeper batsman,97,2675,33.02,156.34,-,-,-,-
"Alex Carey      
   
	",Australia,Wicketkeeper batsman,74,1621,31.17,131.25,-,-,-,-
"Shreyas Iyer(c)      
   
	",India,Batsman,125,3323,31.64,130.82,1,72,10.53,41
"Prithvi Shaw      
   
	",India,Opening batsman,38,972,25.57,149.07,-,-,-,-
"Marcus Stoinis      
   
	",Australia,Allrounder,114,2430,32.83,128.29,62,27.66,8.73,19
"Keemo Paul      
   
	",West Indies,Allrounder,50,286,14.3,116.26,51,25.8,8.7,17.7
"Ravichandran Ashwin      
   
	",India,Spin bowler,232,714,13.47,115.16,235,24.34,6.88,21.2
"Chris Woakes      
   
	",England,Allrounder,111,803,24.33,136.1,121,25.12,8.38,17.9
"Axar Patel      
   
	",India,All round spin bowler,131,1511,22.89,129.81,114,28.41,6.95,24.5
"Kagiso Rabada      
   
	",South Africa,Bowler,81,163,8.15,95.88,107,21.39,7.76,16.5
"Ishant Sharma      
   
	",India,Bowler,133,65,8.12,83.33,106,34.95,7.79,26.8
"Mohit Sharma      
   
	",India,Bowler,111,142,8.35,103.64,110,28,8.36,20
"Tushar Deshpande      
   
	",India,Bowler,20,5,1.25,62.5,31,17.93,7.98,13.4
"Avesh Khan      
   
	",India,Bowler,21,11,5.5,64.7,18,35.33,8.48,25
"Harshal Patel      
   
	",India,Bowler,91,766,17.81,153.81,95,25.57,7.83,19.6
"Amit Mishra      
   
	",India,Spin bowler,229,782,13.71,98.36,253,22.69,7.18,18.9
"Sandeep Lamichhane      
   
	",Nepal,Spin bowler,77,59,5.36,73.75,105,18.21,6.92,15.7
