Name,Country,Role,Matches,Runs,Average,Strike Rate,Wickets,Bowling Average,Bowling Strike Rate,Economy
"Rahul Tripathi      
   
	",India,Opening batsman,72,1501,25.87,129.95,12,23.41,18.5,7.59
"Tom Banton      
   
	",England,Opening Wicketkeeper batsman,34,944,30.45,157.33,-,-,-,-
"Shubman Gill      
   
	",India,Batsman,37,777,33.78,134.89,-,-,-,-
"Nitish Rana      
   
	",India,Batsman,96,2110,27.4,135.43,26,20.38,17.5,6.98
"Rinku Singh      
   
	",India,Batsman,53,763,20.62,137.97,2,45,21,12.85
"Siddhesh Lad      
   
	",India,Batsman,44,703,26.03,122.9,18,21.5,18,7.16
"Eoin Morgan      
   
	",England,Batsman,285,6321,27.12,132.01,-,-,-,-
"Dinesh Karthik(c)      
   
	",India,Wicketkeeper batsman,288,5708,27.7,132.92,1,10,12,5
"Nikhil Naik      
   
	",India,Wicketkeeper batsman,50,899,29.96,128.24,-,-,-,-
"Andre Russell      
   
	",West Indies,Allrounder,321,5365,26.95,171.29,291,25.88,18.7,8.27
"Sunil Narine      
   
	",West Indies,All round spin bowler,336,2241,14.84,146.95,379,20.36,20.2,6.02
"Kuldeep Yadav      
   
	",India,Spin bowler,94,112,12.44,95.72,119,21.13,16.8,7.54
"Varun Chakravarthy      
   
	",India,Spin bowler,1,-,-,-,1,35,18,11.66
"Manimaran Siddharth      
   
	",India,Spin bowler,5,1,-,50,12,7.41,9,4.94
"Chris Green      
   
	",Australia,All round spin bowler,82,506,15.81,127.77,65,27.84,24.6,6.77
"Kamlesh Nagarkoti      
   
	",India,Bowler,9,131,26.2,78.91,11,25,31.4,4.76
"Shivam Mavi      
   
	",India,Bowler,9,13,4.33,86.66,5,54,33.6,9.64
"Prasidh Krishna      
   
	",India,Bowler,28,1,1,14.28,24,36.66,25.3,8.66
"Lockie Ferguson      
   
	",New Zealand,Bowler,51,23,5.75,67.64,47,28.31,22,7.69
"Harry Gurney      
   
	",England,Bowler,156,27,3.85,79.41,190,22.58,17.2,7.84
"Sandeep Warrier      
   
	",India,Bowler,47,13,4.33,43.33,46,26.3,21.9,7.2
"Pat Cummins      
   
	",Australia,Allrounder,80,310,14.09,124,96,24.18,18.7,7.73
