Name,Country,Role,Matches,Runs,Average,Strike Rate,Wickets,Bowling Average,Bowling Strike Rate,Economy
"Chris Gayle      
   
	",West Indies,Opening batsman,404,13296,38.2,146.94,80,31.1,24.4,7.64
"KL Rahul(c)      
   
	",India,Opening Wicketkeeper batsman,131,4076,42.02,140.16,-,-,-,-
"Mayank Agarwal      
   
	",India,Opening batsman,136,2969,24.53,132.13,0,-,-,8
"Karun Nair      
   
	",India,Batsman,128,2623,25.71,132.14,2,32,27,7.11
"Mandeep Singh      
   
	",India,Batsman,165,3251,27.78,127.99,16,21.06,18.9,6.67
"Sarfaraz Khan      
   
	",India,Batsman,56,633,23.44,138.51,0,-,-,18
"Nicholas Pooran      
   
	",West Indies,Wicketkeeper batsman,127,2381,24.54,143.78,-,-,-,-
"Simran Singh      
   
	",India,Wicketkeeper batsman,14,247,20.58,139.54,-,-,-,-
"Deepak Hooda      
   
	",India,Batsman,116,1617,21.27,135.2,15,48.46,37.2,7.8
"Glenn Maxwell      
   
	",Australia,Batsman,268,5983,27.57,154.4,95,31.14,24.2,7.69
"James Neesham      
   
	",New Zealand,Allrounder,120,1754,26.17,137.89,113,25.05,16.5,9.09
"Tajinder Singh      
   
	",India,Allrounder,21,346,23.06,144.16,17,16.11,14.8,6.52
"Mujeeb Ur Rahman      
   
	",Afghanistan,Spin bowler,111,116,9.66,95.08,115,24.59,21.9,6.73
"Murugan Ashwin      
   
	",India,Spin bowler,57,98,8.9,86.72,55,25.4,20.7,7.35
"Harpreet Brar      
   
	",India,Bowler,11,48,8,96,14,19.35,16,7.25
"Krishnappa Gowtham      
   
	",India,All round spin bowler,56,521,15.32,162.81,36,35.69,28.1,7.6
"Jagadeesha Suchith      
   
	",India,Spin bowler,54,227,17.46,122.7,46,27.52,22.3,7.4
"Ravi Bishnoi      
   
	",India,Spin bowler,6,27,27,77.14,6,23,21,6.57
"Mohammed Shami      
   
	",India,Bowler,83,66,5.5,98.5,91,26.48,19,8.35
"Hardus Viljoen      
   
	",South Africa,Bowler,125,590,14.39,122.4,140,25.56,18.9,8.1
"Sheldon Cottrell      
   
	",West Indies,Bowler,88,131,7.27,113.91,123,19.15,15.4,7.42
"Chris Jordan      
   
	",England,Bowler,192,996,14.22,118.99,206,26.2,18.5,8.49
"Darshan Nalkande      
   
	",India,Bowler,9,18,3.6,64.28,19,12.94,10,7.76
"Arshdeep Singh      
   
	",India,Bowler,3,-,-,-,3,36.33,20,10.9
"Ishan Porel      
   
	",India,Bowler,14,2,-,40,16,19.87,19.5,6.11
