Name,Country,Role,Matches,Runs,Average,Strike Rate,Wickets,Bowling Average,Economy,Bowling Strike Rate
"Quinton de Kock      
   
	",South Africa,Opening Wicketkeeper batsman,184,5510,33.39,138.51,-,-,-,-
"Rohit Sharma(c)      
   
	",India,Opening batsman,328,8642,32.24,133.71,29,28.17,7.8,21.6
"Hardik Pandya      
   
	",India,Allrounder,135,2146,27.87,139.71,106,27.21,8.2,19.9
"Jasprit Bumrah      
   
	",India,Bowler,157,69,9.85,89.61,182,22.51,7.06,19.1
"Lasith Malinga      
   
	",Sri Lanka,Bowler,295,426,8.03,102.89,390,19.69,7.08,16.6
"Trent Boult      
   
	",New Zealand,Bowler,95,51,5.1,71.83,105,27.46,8.43,19.5
"Nathan Coulter-Nile      
   
	",Australia,Bowler,120,625,14.88,133.54,140,23.38,7.76,18
"Mitchell McClenaghan      
   
	",New Zealand,Bowler,193,229,6.02,114.5,229,25.41,8.5,17.9
"Chris Lynn      
   
	",Australia,Batsman,184,5096,32.66,144.15,3,31,7.15,26
"Dhawal Kulkarni      
   
	",India,Bowler,144,203,11.27,98.54,147,26.19,7.95,19.7
"Mohsin Khan      
   
	",India,Bowler,20,50,8.33,131.57,26,18.3,7,15.6
"Jayant Yadav      
   
	",India,Spin bowler,55,256,15.05,112.28,30,33.43,6.2,32.3
"Sherfane Rutherford      
   
	",West Indies,Batsman,39,585,25.43,140.96,8,32.12,8.33,23.1
"Krunal Pandya      
   
	",India,All round spin bowler,102,1338,23.47,138.5,79,28.82,7.33,23.5
"Digvijay Deshmukh      
   
	",India,Bowler,7,19,9.5,135.71,9,28.66,9.92,17.3
"Saurabh Tiwary      
   
	",India,Batsman,155,2890,28.9,122.14,0,-,8,-
"Kieron Pollard      
   
	",West Indies,Allrounder,501,10000,30.86,150.57,279,24.36,8.2,17.8
"Suryakumar Yadav      
   
	",India,Batsman,149,3012,31.37,139.12,6,23.33,6.36,22
"Anmolpreet Singh      
   
	",India,Batsman,26,419,19.04,106.07,-,-,-,-
"Rahul Chahar      
   
	",India,Spin bowler,35,64,10.66,96.96,39,22.46,7.11,18.9
"Anukul Roy      
   
	",India,All round spin bowler,21,159,19.87,128.22,12,38.16,6.85,33.4
"Aditya Tare      
   
	",India,Wicketkeeper batsman,102,2085,27.43,131.71,-,-,-,-
"Ishan Kishan      
   
	",India,Wicketkeeper batsman,76,1714,24.84,130.83,-,-,-,-
