Name,Country,Role,Matches,Runs,Average,Strike Rate,Wickets,Bowling Average,Bowling Strike Rate,Economy
"Robin Uthappa      
   
	",India,Opening batsman,256,6504,28.9,133.16,0,-,-,11
"Manan Vohra      
   
	",India,Opening batsman,96,2344,27.57,128.29,-,-,-,-
"Yashasvi Jaiswal      
   
	",India,Opening batsman,13,779,70.81,91.53,5,17.6,23.6,4.47
"Steven Smith(c)      
   
	",Australia,Batsman,189,4014,31.6,126.14,54,19.55,15.2,7.68
"David Miller      
   
	",South Africa,Batsman,319,6900,34.5,138.02,0,-,-,10.33
"Mahipal Lomror      
   
	",India,Batsman,39,810,26.12,117.9,6,64.16,52.3,7.35
"Aniruddha Joshi      
   
	",India,Batsman,16,260,32.5,146.89,6,12.33,10,7.4
"Jos Buttler      
   
	",England,Wicketkeeper batsman,252,5782,30.43,144.73,-,-,-,-
"Sanju Samson      
   
	",India,Batsman,149,3481,26.98,126.62,1,4,3,8
"Anuj Rawat      
   
	",India,Wicketkeeper batsman,15,235,26.11,112.98,-,-,-,-
"Ben Stokes      
   
	",England,Allrounder,123,2330,24.78,135.46,68,31.7,22.6,8.41
"Riyan Parag      
   
	",India,Opening batsman,24,470,24.73,123.03,11,33.63,29.2,6.89
"Shreyas Gopal      
   
	",India,Spin bowler,61,266,14.77,120.36,78,16.78,14,7.15
"Shashank Singh      
   
	",India,Batsman,22,247,19,141.14,7,31.42,23.1,8.14
"Rahul Tewatia      
   
	",India,All round spin bowler,48,628,27.3,154.29,30,23.56,19.7,7.15
"Mayank Markande      
   
	",India,Spin bowler,31,76,25.33,116.92,33,24.72,19,7.77
"Jofra Archer      
   
	",England,Bowler,95,419,16.76,139.66,121,22.47,17.2,7.8
"Varun Aaron      
   
	",India,Bowler,83,123,9.46,73.65,87,27.7,19.5,8.49
"Ankit Rajpoot      
   
	",India,Bowler,73,49,7,71.01,97,18.97,15.2,7.47
"Jaydev Unadkat      
   
	",India,Bowler,134,289,13.76,126.2,168,22.32,16.9,7.89
"Kartik Tyagi      
   
	",India,Bowler,5,20,20,33.89,9,29,31.3,5.55
"Andrew Tye      
   
	",Australia,Bowler,142,402,11.48,120.35,194,21.47,16,8
"Tom Curran      
   
	",England,Allrounder,120,873,18.57,133.48,149,23.46,16.2,8.67
"Oshane Thomas      
   
	",West Indies,Bowler,36,14,7,53.84,52,22.26,14.7,9.04
"Akash Singh      
   
	",India,Bowler,1,-,-,-,2,13,12,6.5
