Name,Country,Role,Matches,Runs,Average,Strike Rate,Wickets,Bowling Average,Bowling Strike Rate,Economy
"Aaron Finch      
   
	",Australia,Opening batsman,284,8914,36.08,143.75,7,51.28,33.2,9.24
"Parthiv Patel      
   
	",India,Opening Wicketkeeper batsman,204,4300,22.87,123.84,-,-,-,-
"Devdutt Padikkal      
   
	",India,Opening batsman,12,580,64.44,175.75,-,-,-,-
"Virat Kohli(c)      
   
	",India,Batsman,281,8900,41.2,134.56,8,82.62,56.7,8.73
"AB de Villiers      
   
	",South Africa,Batsman,310,8657,37.15,149.77,-,-,-,-
"Gurkeerat Singh Mann      
   
	",India,Batsman,98,1624,22.87,125.11,6,39.5,32,7.4
"Josh Philippe      
   
	",Australia,Wicketkeeper batsman,32,798,33.25,138.3,-,-,-,-
"Shivam Dube      
   
	",India,Allrounder,39,399,16.62,139.51,25,29.44,19.8,8.92
"Moeen Ali      
   
	",England,All round spin bowler,158,3393,25.32,140.49,108,26.68,20.8,7.66
"Washington Sundar      
   
	",India,All round spin bowler,69,703,24.24,122.9,57,26.14,23.2,6.74
"Chris Morris      
   
	",South Africa,Allrounder,209,1730,21.62,150.82,259,22.22,17,7.81
"Isuru Udana      
   
	",Sri Lanka,Allrounder,135,905,16.16,128.55,145,23.83,17.8,8.02
"Pavan Deshpande      
   
	",India,All round spin bowler,20,426,47.33,149.47,4,40.75,29.2,8.35
"Pawan Negi      
   
	",India,Spin bowler,116,803,15.74,122.22,96,23.59,19.2,7.34
"Yuzvendra Chahal      
   
	",India,Spin bowler,172,55,4.58,56.12,189,24.16,19.1,7.56
"Shahbaz Ahmed      
   
	",India,All round spin bowler,16,158,31.6,128.45,15,22.53,21.2,6.37
"Umesh Yadav      
   
	",India,Bowler,146,194,9.23,117.57,148,28.34,20.4,8.31
"Navdeep Saini      
   
	",India,Bowler,45,23,11.5,69.69,43,26.93,22.7,7.08
"Mohammed Siraj      
   
	",India,Bowler,58,52,5.77,76.47,79,22.54,16,8.44
"Kane Richardson      
   
	",Australia,Bowler,107,279,14.68,115.28,127,23.9,18.1,7.89
"Dale Steyn      
   
	",South Africa,Bowler,220,311,8.63,110.28,256,21.48,19,6.75
