Name,Country,Role,Matches,Runs,Average,Strike Rate,Wickets,Bowling Average,Bowling Strike Rate,Economy
"David Warner(c)      
   
	",Australia,Opening batsman,280,9218,37.93,142.2,0,-,-,13
"Jonny Bairstow      
   
	",England,Opening Wicketkeeper batsman,116,2423,28.5,135.21,-,-,-,-
"Kane Williamson      
   
	",New Zealand,Batsman,181,4593,30.21,124.77,30,29.5,25.2,7
"Manish Pandey      
   
	",India,Batsman,240,5324,32.07,124.77,10,21.2,16.8,7.57
"Virat Singh      
   
	",India,Batsman,56,1552,35.27,124.45,1,87,60,8.7
"Priyam Garg      
   
	",India,Batsman,11,227,28.37,132.74,-,-,-,-
"Wriddhiman Saha      
   
	",India,Wicketkeeper batsman,191,3232,24.48,132.56,-,-,-,-
"Shreevats Goswami      
   
	",India,Wicketkeeper batsman,96,2131,27.32,116.25,-,-,-,-
"Mohammad Nabi      
   
	",Afghanistan,All round spin bowler,258,3951,22.7,142.07,255,23.55,20.2,6.98
"Abhishek Sharma      
   
	",India,All round spin bowler,15,286,26,151.32,5,15,13.2,6.81
"Vijay Shankar      
   
	",India,Allrounder,90,1356,26.07,129.14,26,35.11,25,8.41
"Mitchell Marsh      
   
	",Australia,Allrounder,91,1913,30.36,124.7,49,28.12,19.8,8.51
"Bavanaka Sandeep      
   
	",India,Batsman,38,734,28.23,126.77,7,54.42,45.8,7.12
"Fabian Allen      
   
	",West Indies,All round spin bowler,29,404,25.25,164.89,16,30.75,24.8,7.43
"Abdul Samad      
   
	",India,Batsman,11,240,40,136.36,1,54,42,7.71
"Sanjay Yadav      
   
	",India,All round spin bowler,17,359,29.91,125.08,8,37.37,28.5,7.86
"Shahbaz Nadeem      
   
	",India,Spin bowler,122,246,8.2,87.85,103,28.12,25,6.74
"Rashid Khan      
   
	",Afghanistan,Spin bowler,211,879,12.2,149.48,296,17.22,16.3,6.3
"Siddarth Kaul      
   
	",India,Bowler,104,67,6.7,85.89,114,24.64,19.5,7.56
"Khaleel Ahmed      
   
	",India,Bowler,48,5,2.5,55.55,73,19.13,14.4,7.96
"Bhuvneshwar Kumar      
   
	",India,Bowler,172,253,8.16,95.47,182,25,20.8,7.18
"Basil Thampi      
   
	",India,Bowler,57,67,9.57,104.68,60,27.81,20,8.31
"Billy Stanlake      
   
	",Australia,Bowler,64,27,13.5,79.41,68,26.83,20.2,7.95
"T Natarajan      
   
	",India,Bowler,22,2,2,40,19,25,21.2,7.07
"Sandeep Sharma      
   
	",India,Bowler,120,80,16,88.88,138,23.59,18.8,7.52
